,seed_mof_name,seed_mof_string,seed_edge_selfies,seed_edge_smiles,seed_targets,dreamed_mof_name,dreamed_mof_string,dreamed_edge_selfies,dreamed_edge_smiles,dreamed_targets
140,srs_N713_edge154062,[FrH0][C][Branch][C][C][=C][C][=Branch][=C][Ring1][Ring2][pop][C][C][O][FrH0][pop][S][C][.][Fr][C][=C][N][Branch1][=Branch1][C][C][=C][Ring1][=Branch1][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][&&][srs],[FrH0][C][Branch][C][C][=C][C][=Branch][=C][Ring1][Ring2][pop][C][C][O][FrH0][pop][S][C],CSC([Fr])CC1=CC(CCO[Fr])=C1,"[-3.7015195, 0.23993002]",srs_N713_CSC([Fr])CC1=CC(CCO[Fr])=C1,[:0propyl][C][:3pyrimidine][Ring1][FrH0][pop][Ring1][:0benzenediol][Ring1][FrH0][pop][Ring2][:1imidazole][Branch][:0propyl][pop][pop][pop][pop][.][Fr][C][=C][N][Branch1][=Branch1][C][C][=C][Ring1][=Branch1][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][&&][srs],[:0propyl][C][:3pyrimidine][Ring1][FrH0][pop][Ring1][:0benzenediol][Ring1][FrH0][pop][Ring2][:1imidazole][Branch][:0propyl][pop][pop][pop][pop],CCCc1cc(-c2c(O)cc(-n3ccnc3CCC)cc2O[Fr])nc([Fr])n1,"[9.6533741331, 0.8036372033676409]"
1509,unc_N2_edge51199,[P][N][C][C][Branch][N][Branch][C][Branch][N][Branch][FrH0][pop][Ring1][=Branch][pop][Branch][P][pop][P][pop][P][pop][Branch][FrH0][pop][P][.][Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Zn][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][unc],[P][N][C][C][Branch][N][Branch][C][Branch][N][Branch][FrH0][pop][Ring1][=Branch][pop][Branch][P][pop][P][pop][P][pop][Branch][FrH0][pop][P],PN1CC(P)([Fr])N(P)C(P)(P)N1[Fr],"[-6.8974814, 0.64620346]",unc_N2_PN1CC(P)([Fr])N(P)C(P)(P)N1[Fr],[:0methyl][C][N][Branch][FrH0][pop][Branch][Branch][:0benzenediol][Cl][:0benzenediol][#Branch][N][:0benzenediol][:0benzenediol][:0benzenediol][pop][pop][Ring2][:1imidazole][pop][Ring2][FrH0][pop][:0methyl][:0amide][pop][pop][:0pyrimidine][:0benzenediol][Branch][:1imidazole][Branch][Branch][Branch][Branch][S][Branch][.][Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Zn][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][unc],[:0methyl][C][N][Branch][FrH0][pop][Branch][Branch][:0benzenediol][Cl][:0benzenediol][#Branch][N][:0benzenediol][:0benzenediol][:0benzenediol][pop][pop][Ring2][:1imidazole][pop][Ring2][FrH0][pop][:0methyl][:0amide][pop][pop][:0pyrimidine][:0benzenediol][Branch][:1imidazole][Branch][Branch][Branch][Branch][S][Branch],CCN([Fr])c1c(O)ccc(-c2c(O)cc(-n3ccnc3S)cc2O)c1Oc1c(On2ccnc2)cc([Fr])c(NC=O)c1ONc1c(O)cccc1Oc1c(O)cccc1O,"[12.8312772063, 1.1585959360337748]"
1365,lvt_N381_edge75524,[:0carboxylic_acid][Ring1][C][Branch][C][C][Branch][:1carboxylic_acid][pop][C][C][O][C][Branch][O][FrH0][pop][O][pop][FrH0][pop][.][O][=C][Branch1][C][Fr][O][Yb][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch2][Branch1][Ring2][O][C][Branch1][C][Fr][O][Yb][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][=Branch2][O][C][N][C][C][N][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][N][C][C][N][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring2][Ring2][#Branch2][&&][lvt],[:0carboxylic_acid][Ring1][C][Branch][C][C][Branch][:1carboxylic_acid][pop][C][C][O][C][Branch][O][FrH0][pop][O][pop][FrH0][pop],O=C(O)C([Fr])CC(CCOC(O)O[Fr])C(=O)O,"[-13.739319, 1.1710612]",lvt_N381_O=C(O)C([Fr])CC(CCOC(O)O[Fr])C(=O)O,[:0sulfonic_acid][=Ring2][FrH0][:5benzenediol][:=1methyl_amine][:1amide][:2imidazole][FrH0][FrH0][N][Ring2][FrH0][Ring2][Ring2][=Ring2][:0benzenediol][:0benzenediol][:0benzenediol][:0benzenediol][:0benzenediol][:0benzenediol][:3pyrimidine][:3pyrimidine][:4benzenealcohol][:3imidazole][.][O][=C][Branch1][C][Fr][O][Yb][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch2][Branch1][Ring2][O][C][Branch1][C][Fr][O][Yb][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][=Branch2][O][C][N][C][C][N][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][N][C][C][N][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring2][Ring2][#Branch2][&&][lvt],[:0sulfonic_acid][=Ring2][FrH0][:5benzenediol][:=1methyl_amine][:1amide][:2imidazole][FrH0][FrH0][N][Ring2][FrH0][Ring2][Ring2][=Ring2][:0benzenediol][:0benzenediol][:0benzenediol][:0benzenediol][:0benzenediol][:0benzenediol][:3pyrimidine][:3pyrimidine][:4benzenealcohol][:3imidazole],O=[SH](=CNc1[nH]cnc1[Fr])O[Fr],"[19.6562188008, 1.7736358064774491]"
792,qtz_N434_edge132885,[:0alkene][C][C][=C][Branch][C][Branch][N][C][Branch][C][Branch][:0alkene][pop][Branch][FrH0][pop][Ring1][=Branch][pop][=S][pop][Branch][:0alkene][pop][:0alkene][pop][FrH0][pop][.][Fr][C][O][Dy][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][O][Ring1][S][&&][qtz],[:0alkene][C][C][=C][Branch][C][Branch][N][C][Branch][C][Branch][:0alkene][pop][Branch][FrH0][pop][Ring1][=Branch][pop][=S][pop][Branch][:0alkene][pop][:0alkene][pop][FrH0][pop],O=CC1=C([Fr])C(C=O)(C=O)NC(=S)C1([Fr])C=O,"[-11.12048, 1.1070315]",qtz_N434_O=CC1=C([Fr])C(C=O)(C=O)NC(=S)C1([Fr])C=O,[FrH0][=P][:0benzenediol][:0benzenediol][:0benzenediol][:0benzenediol][:0propyl][:1pyrimidine][:2imidazole][:2imidazole][:5benzenediol][:1carboxylic_acid][:1methyl_amine][:0pyridine][:5benzenediol][FrH0][#N][O][:2pyridine][O][O][:1pyrimidine][.][Fr][C][O][Dy][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][O][Ring1][S][&&][qtz],[FrH0][=P][:0benzenediol][:0benzenediol][:0benzenediol][:0benzenediol][:0propyl][:1pyrimidine][:2imidazole][:2imidazole][:5benzenediol][:1carboxylic_acid][:1methyl_amine][:0pyridine][:5benzenediol][FrH0][#N][O][:2pyridine][O][O][:1pyrimidine],CCCOc1c(-c2[nH]cnc2C(=O)Oc2nccc(Oc3ccncc3Oc3ccncn3)c2[Fr])ccc(O)c1Oc1cccc(O)c1P[Fr],"[17.0326532915, 1.6510965542716112]"
254,neb_N310_edge185437,[:0amide][Ring1][C][=C][Branch][C][=C][Branch][C][C][FrH0][pop][Ring1][Ring2][pop][C][=C][FrH0][pop][.][O][=C][Branch1][C][Fr][O][Fe][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][&&][neb],[:0amide][Ring1][C][=C][Branch][C][=C][Branch][C][C][FrH0][pop][Ring1][Ring2][pop][C][=C][FrH0][pop],NC(=O)C1=C(C=C[Fr])C=C1CC[Fr],"[-5.2635593, 0.45057386]",neb_N310_NC(=O)C1=C(C=C[Fr])C=C1CC[Fr],[:0propyl][C][C][Branch][FrH0][:0benzenediol][=C][:1amide][Ring1][:0benzenediol][:4benzenealcohol][:0benzenediol][Ring1][FrH0][:0benzenediol][:0benzenediol][:1imidazole][Ring2][Ring2][Ring2][:0pyridine][Ring2][:2pyrimidine][:0benzenediol][:0benzenediol][:0benzenediol][:1imidazole][:0pyrimidine][:0benzenediol][.][O][=C][Branch1][C][Fr][O][Fe][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][&&][neb],[:0propyl][C][C][Branch][FrH0][:0benzenediol][=C][:1amide][Ring1][:0benzenediol][:4benzenealcohol][:0benzenediol][Ring1][FrH0][:0benzenediol][:0benzenediol][:1imidazole][Ring2][Ring2][Ring2][:0pyridine][Ring2][:2pyrimidine][:0benzenediol][:0benzenediol][:0benzenediol][:1imidazole][:0pyrimidine][:0benzenediol],CCCC([Fr])c1c(O)cc(C(=O)Nc2c(O)cccc2Oc2c(O)ccc(-c3c(O)cc(-c4c(O)cccc4Oc4ncccn4)c4c3O4)c2O[Fr])cc1O,"[11.1722956221, 1.0964911222116467]"
1740,srs_N682_edge142166,[F][C][=C][Branch][C][=Branch][=C][Branch][C][Branch][N][Branch][N][Branch][FrH0][pop][F][pop][F][pop][Branch][F][pop][F][pop][Ring1][Ring2][pop][F][pop][FrH0][.][O][U][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][srs],[F][C][=C][Branch][C][=Branch][=C][Branch][C][Branch][N][Branch][N][Branch][FrH0][pop][F][pop][F][pop][Branch][F][pop][F][pop][Ring1][Ring2][pop][F][pop][FrH0],FC1=C([Fr])C(F)=C1C(F)(F)N(F)N(F)[Fr],"[-1.1818908, -0.17671278]",srs_N682_FC1=C([Fr])C(F)=C1C(F)(F)N(F)N(F)[Fr],[:0propyl][C][:1alkyne][Ring1][:0benzenediol][:3pyrimidine][:3pyrimidine][pop][:0benzenediol][:0benzenediol][pop][Ring1][FrH0][pop][Ring1][:0pyrimidine][Ring1][:0benzenediol][#Branch][S][pop][Branch][FrH0][:1carboxylic_acid][:3pyrimidine][:2imidazole][:1carboxylic_acid][:0benzenealcohol][.][O][U][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][srs],[:0propyl][C][:1alkyne][Ring1][:0benzenediol][:3pyrimidine][:3pyrimidine][pop][:0benzenediol][:0benzenediol][pop][Ring1][FrH0][pop][Ring1][:0pyrimidine][Ring1][:0benzenediol][#Branch][S][pop][Branch][FrH0][:1carboxylic_acid][:3pyrimidine][:2imidazole][:1carboxylic_acid][:0benzenealcohol],CCCC#Cc1c(O)c(-c2nccc(-c3c(OS)cc(-c4ccnc(C(=O)O)n4)c([Fr])c3O)n2)c([Fr])c(-c2c(O)cccc2O)c1Oc1ccncn1,"[7.0884035089, 0.6352473831494582]"
585,cds_N574_edge168971,[:0nitrile][C][C][Branch][C][=C][C][=Branch][=C][Ring1][Ring2][pop][O][C][C][Branch][:0nitrile][pop][FrH0][pop][=C][FrH0][pop][.][Fr][C][=C][C][=C][N][Branch1][Ring2][C][Ring1][=Branch1][Fe][Branch1][=C][N][C][Ring1][=Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][Branch2][Ring1][O][N][C][Branch1][#Branch2][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][=C][N][Ring1][P][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][Branch1][#C][C][N][Ring2][Ring1][#Branch2][C][C][Branch1][C][Fr][=C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][&&][cds],[:0nitrile][C][C][Branch][C][=C][C][=Branch][=C][Ring1][Ring2][pop][O][C][C][Branch][:0nitrile][pop][FrH0][pop][=C][FrH0][pop],N#CC(=C[Fr])C1=CC(OCC([Fr])C#N)=C1,"[-7.034601, 0.46983895]",cds_N574_N#CC(=C[Fr])C1=CC(OCC([Fr])C#N)=C1,[:0methyl][C][:0benzenediol][Ring1][FrH0][pop][:3pyrimidine][S][:0benzenediol][:0benzenediol][:0benzenediol][Cl][Branch][FrH0][Cl][Cl][:0benzenediol][:0benzenediol][pop][:0propyl][:0propyl][Cl][:0benzenediol][Cl][=P][:0benzenediol][S][:0pyrimidine][:0benzenediol][:=1methyl_amine][:0pyrimidine][:0pyrimidine][Ring2][:=1methyl_amine][:0benzenediol][:0pyrimidine][S][S][Branch][.][Fr][C][=C][C][=C][N][Branch1][Ring2][C][Ring1][=Branch1][Fe][Branch1][=C][N][C][Ring1][=Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][Branch2][Ring1][O][N][C][Branch1][#Branch2][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][=C][N][Ring1][P][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][Branch1][#C][C][N][Ring2][Ring1][#Branch2][C][C][Branch1][C][Fr][=C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][&&][cds],[:0methyl][C][:0benzenediol][Ring1][FrH0][pop][:3pyrimidine][S][:0benzenediol][:0benzenediol][:0benzenediol][Cl][Branch][FrH0][Cl][Cl][:0benzenediol][:0benzenediol][pop][:0propyl][:0propyl][Cl][:0benzenediol][Cl][=P][:0benzenediol][S][:0pyrimidine][:0benzenediol][:=1methyl_amine][:0pyrimidine][:0pyrimidine][Ring2][:=1methyl_amine][:0benzenediol][:0pyrimidine][S][S][Branch],CCCc1c(OCl)c(Oc2c(Sc3nccc(CNc4ncc(CNc5nccc(S)n5)cn4)n3)ccc(O)c2Sc2ccc(O)c(CC)c2O[Fr])c(O[Fr])c(Cl)c1-c1c(O)cccc1O,"[12.9286447763, 1.2331874233164806]"
1005,lon_N184_edge206070,[FrH0][:2benzenealcohol][Branch][:0benzene][Ring1][C][pop][Branch][C][pop][Ring1][FrH0][pop][pop][Ring1][C][pop][.][Fr][C][O][Cd][Branch1][Ring2][O][Ring1][Ring2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][O][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1][&&][lon],[FrH0][:2benzenealcohol][Branch][:0benzene][Ring1][C][pop][Branch][C][pop][Ring1][FrH0][pop][pop][Ring1][C][pop],Cc1cc([Fr])ccc1Oc1c(C)ccc(C)c1[Fr],"[-7.791195, 0.801991]",lon_N184_Cc1cc([Fr])ccc1Oc1c(C)ccc(C)c1[Fr],[:0sulfonic_acid][=C][#C][=S][:=0methyl_amine][:1imidazole][pop][:3pyrimidine][#N][Branch][:0benzenediol][:0benzenediol][:=1methyl_amine][FrH0][FrH0][:=1methyl_amine][S][S][:0benzenealcohol][:1pyrimidine][:1pyrimidine][:1pyrimidine][:1pyrimidine][:2pyrimidine][:2pyrimidine][:0benzenediol][FrH0][:0benzenediol][:0benzenediol][:0benzenediol][:0propyl][:0propyl][:0propyl][:0propyl][:1pyrimidine][:=1methyl_amine][:=1methyl_amine][:1methyl_amine][:1pyrimidine][.][Fr][C][O][Cd][Branch1][Ring2][O][Ring1][Ring2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][O][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1][&&][lon],[:0sulfonic_acid][=C][#C][=S][:=0methyl_amine][:1imidazole][pop][:3pyrimidine][#N][Branch][:0benzenediol][:0benzenediol][:=1methyl_amine][FrH0][FrH0][:=1methyl_amine][S][S][:0benzenealcohol][:1pyrimidine][:1pyrimidine][:1pyrimidine][:1pyrimidine][:2pyrimidine][:2pyrimidine][:0benzenediol][FrH0][:0benzenediol][:0benzenediol][:0benzenediol][:0propyl][:0propyl][:0propyl][:0propyl][:1pyrimidine][:=1methyl_amine][:=1methyl_amine][:1methyl_amine][:1pyrimidine],CCCOc1c(CCC)c(CNc2ccncn2)cc(O)c1-c1ncc(-c2cncnc2-c2cncnc2-c2cccc(O)c2Sc2ccc(O)c(OS(=O)#C[SH]=NC)c2OCN[Fr])c([Fr])n1,"[13.6797288038, 1.2869043635652548]"
1831,nbo_N87_edge102711,[:0nitrile][C][C][=Branch][=C][Branch][C][Branch][O][O][O][O][O][O][FrH0][pop][Branch][:0nitrile][pop][:0nitrile][pop][:0nitrile][pop][C][O][FrH0][pop][.][Fr][C][O][Cu][Branch2][Ring2][=N][Cu][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][Ring2][O][Ring1][P][N][C][=C][C][C][=C][Ring1][=Branch1][N][C][=C][C][=C][C][Ring1][=Branch1][&&][nbo],[:0nitrile][C][C][=Branch][=C][Branch][C][Branch][O][O][O][O][O][O][FrH0][pop][Branch][:0nitrile][pop][:0nitrile][pop][:0nitrile][pop][C][O][FrH0][pop],N#CC(CO[Fr])=C(C#N)C(C#N)(C#N)OOOOOO[Fr],"[-6.698789, 0.45908865]",nbo_N87_N#CC(CO[Fr])=C(C#N)C(C#N)(C#N)OOOOOO[Fr],[Cl][:0sulfonic_acid][:0methyl][Branch][:1imidazole][:1amide][:2benzenediol][:0benzenediol][:1amide][Cl][S][:3imidazole][S][S][N][N][=S][=S][:0benzenediol][:0benzenediol][Cl][Cl][Cl][:0propyl][FrH0][:=1methyl_amine][:0benzenediol][:0benzenediol][:=1methyl_amine][:3pyrimidine][=N][:0benzenediol][:0benzenediol][:0benzenediol][:0benzenediol][:0benzenediol][:0benzenediol][FrH0][:3benzenealcohol][.][Fr][C][O][Cu][Branch2][Ring2][=N][Cu][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][Ring2][O][Ring1][P][N][C][=C][C][C][=C][Ring1][=Branch1][N][C][=C][C][=C][C][Ring1][=Branch1][&&][nbo],[Cl][:0sulfonic_acid][:0methyl][Branch][:1imidazole][:1amide][:2benzenediol][:0benzenediol][:1amide][Cl][S][:3imidazole][S][S][N][N][=S][=S][:0benzenediol][:0benzenediol][Cl][Cl][Cl][:0propyl][FrH0][:=1methyl_amine][:0benzenediol][:0benzenediol][:=1methyl_amine][:3pyrimidine][=N][:0benzenediol][:0benzenediol][:0benzenediol][:0benzenediol][:0benzenediol][:0benzenediol][FrH0][:3benzenealcohol],O=C(NSc1nc[nH]c1SNN=S=[SH]c1c(O)c(-c2c(O)cccc2OCN=Nc2c(O)cccc2Oc2c(O)cccc2Oc2c(O)cccc2O[Fr])c([Fr])c(Cl)c1OCl)c1cc(O)cc(O)c1-c1cncn1S(=O)OCl,"[12.5781197628, 1.3547256763886395]"
1482,sra_N164_edge10119,[O][C][=C][=C][Branch][C][=C][Branch][FrH0][pop][Ring1][Branch][pop][FrH0][.][Fr][C][O][In][Branch1][Ring2][O][Ring1][Ring2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][sra],[O][C][=C][=C][Branch][C][=C][Branch][FrH0][pop][Ring1][Branch][pop][FrH0],OC1=C=C([Fr])C=C1[Fr],"[-5.6400647, 0.43141106]",sra_N164_OC1=C=C([Fr])C=C1[Fr],[:=0methyl_amine][:0methyl][:0benzenediol][:1pyridine][FrH0][FrH0][:0alkene][:2imidazole][:0benzenediol][:0benzenediol][:0propyl][:0propyl][:0propyl][:0propyl][:0propyl][:0propyl][:0propyl][:0propyl][:0benzenediol][:1pyrimidine][:1pyrimidine][:1pyrimidine][:2benzenediol][:1carboxylic_acid][:0pyridine][:0pyridine][:0pyridine][:1benzenediol][FrH0][O][F][=O][:3imidazole][.][Fr][C][O][In][Branch1][Ring2][O][Ring1][Ring2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][sra],[:=0methyl_amine][:0methyl][:0benzenediol][:1pyridine][FrH0][FrH0][:0alkene][:2imidazole][:0benzenediol][:0benzenediol][:0propyl][:0propyl][:0propyl][:0propyl][:0propyl][:0propyl][:0propyl][:0propyl][:0benzenediol][:1pyrimidine][:1pyrimidine][:1pyrimidine][:2benzenediol][:1carboxylic_acid][:0pyridine][:0pyridine][:0pyridine][:1benzenediol][FrH0][O][F][=O][:3imidazole],CCCOc1c(CCC)c(CCC)c(-c2ncncc2-c2c(O)cc(O)cc2-c2ncccc2-c2ncc(-c3c[nH]cn3)c(F)c2[Fr])c(O)c1-c1cc(O)c(NC)c(O[Fr])c1C=O,"[11.5158369378, 1.0667675104805723]"
294,utk_N267_edge196276,[P][C][Branch][C][C][C][=C][Branch][C][=Branch][=C][Ring1][Ring2][pop][FrH0][pop][C][Ring1][O][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][P][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][&&][utk],[P][C][Branch][C][C][C][=C][Branch][C][=Branch][=C][Ring1][Ring2][pop][FrH0][pop][C][Ring1][O][pop][FrH0],PC([Fr])C1CC2=C(C1)C([Fr])=C2,"[-8.058047, 0.7372897]",utk_N267_PC([Fr])C1CC2=C(C1)C([Fr])=C2,[:0benzenediol][:0sulfonic_acid][S][:=1methyl_amine][:=1methyl_amine][FrH0][pop][:0propyl][:0imidazole][:=1methyl_amine][=Ring2][Branch][:0propyl][Branch][:0benzenediol][FrH0][FrH0][:0benzenediol][:0propyl][:0propyl][:=1methyl_amine][:0benzenediol][Ring2][:0benzenediol][:0benzenediol][Ring2][Ring2][:2imidazole][.][O][=C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][P][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][&&][utk],[:0benzenediol][:0sulfonic_acid][S][:=1methyl_amine][:=1methyl_amine][FrH0][pop][:0propyl][:0imidazole][:=1methyl_amine][=Ring2][Branch][:0propyl][Branch][:0benzenediol][FrH0][FrH0][:0benzenediol][:0propyl][:0propyl][:=1methyl_amine][:0benzenediol][Ring2][:0benzenediol][:0benzenediol][Ring2][Ring2][:2imidazole],CCCNCOc1c([Fr])c(CCC)c(-c2c(O)ccc(-c3c(O)cccc3O)c2O)c(O)c1[SH]=CN[Fr],"[13.9278432816, 1.3411476167631464]"
174,lvt_N447_edge69554,[:0O_nitrile][C][C][Branch][C][C][Branch][O][FrH0][pop][O][pop][=C][C][O][FrH0][pop][.][Fr][C][=C][N][C][=Branch2][=Branch1][#Branch1][=C][N][Branch1][#Branch2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Co][Ring1][#Branch2][Branch2][Ring1][=Branch2][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][=C][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#C][Ring1][#Branch1][N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Fr][C][N][Ring2][Ring1][Branch2][Ring1][#Branch1][=C][C][=C][Branch1][C][Fr][C][Ring1][=C][C][=C][Ring2][Ring2][#Branch2][&&][lvt],[:0O_nitrile][C][C][Branch][C][C][Branch][O][FrH0][pop][O][pop][=C][C][O][FrH0][pop],N#COC(=CCO[Fr])CC(O)O[Fr],"[-7.678789, 0.58025503]",lvt_N447_N#COC(=CCO[Fr])CC(O)O[Fr],[:0benzenediol][C][N][:1benzenediol][=Branch][:3pyrimidine][pop][Ring1][FrH0][pop][pop][Branch][:0benzenediol][Ring1][:0benzenediol][Ring1][:0benzenediol][Ring1][:2pyrimidine][pop][pop][pop][Ring1][FrH0][pop][pop][.][Fr][C][=C][N][C][=Branch2][=Branch1][#Branch1][=C][N][Branch1][#Branch2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Co][Ring1][#Branch2][Branch2][Ring1][=Branch2][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][=C][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#C][Ring1][#Branch1][N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Fr][C][N][Ring2][Ring1][Branch2][Ring1][#Branch1][=C][C][=C][Branch1][C][Fr][C][Ring1][=C][C][=C][Ring2][Ring2][#Branch2][&&][lvt],[:0benzenediol][C][N][:1benzenediol][=Branch][:3pyrimidine][pop][Ring1][FrH0][pop][pop][Branch][:0benzenediol][Ring1][:0benzenediol][Ring1][:0benzenediol][Ring1][:2pyrimidine][pop][pop][pop][Ring1][FrH0][pop][pop],Oc1cc(-c2c(O)ccc([Fr])c2Oc2c(O)cccc2Oc2c(O)cccc2Oc2cncnc2)cc(O)c1NOc1cccc(Oc2ccncn2)c1[Fr],"[13.5400158752, 1.111534367089074]"
